video_id,data_set,titles_emotion_cluster,titles_emotion_labels,titles_toxicity_cluster,titles_toxicity_labels,transcripts_emotion_cluster,transcripts_emotion_labels,transcripts_toxicity_cluster,transcripts_toxicity_labels,moviebarcodes_cluster,moviebarcodes_labels,titles_emotion_dominant,titles_toxicity_dominant,transcripts_emotion_dominant,transcripts_toxicity_dominant,tm_clusters,topics_string,content_creator_network_clusters,titles_emotion_dominant_weight
LRNqINI8XqA,CE2019_Influential,2,titles_emo_3,0,titles_toxic_1,6,transcripts_emo_7,2,transcripts_toxic_3,2,mb_cluster_3,titles_emotion_JOY,titles_toxicity_TOXICITY,transcripts_emotion_SURPRISE,transcripts_toxicity_IDENTITY-ATTACK,1,topic_1,3,0.595540285
h3lzkpLqrE0,CE2019_Influential,5,titles_emo_6,4,titles_toxic_5,7,transcripts_emo_8,5,transcripts_toxic_6,2,mb_cluster_3,titles_emotion_DISGUST,titles_toxicity_INSULT,transcripts_emotion_ANGER,transcripts_toxicity_TOXICITY,0,topic_0,2,0.428355753
cDPeXoQUrbI,CE2019_Influential,3,titles_emo_4,0,titles_toxic_1,6,transcripts_emo_7,5,transcripts_toxic_6,2,mb_cluster_3,titles_emotion_ANGER,titles_toxicity_TOXICITY,transcripts_emotion_SURPRISE,transcripts_toxicity_TOXICITY,3,topic_3,0,0.834338009
LeGCRbMVKBk,CE2019_Influential,7,titles_emo_8,4,titles_toxic_5,6,transcripts_emo_7,3,transcripts_toxic_4,2,mb_cluster_3,titles_emotion_JOY,titles_toxicity_INSULT,transcripts_emotion_SURPRISE,transcripts_toxicity_TOXICITY,3,topic_3,3,0.394200146
14N4EvXnHtA,CE2019_Influential,1,titles_emo_2,3,titles_toxic_4,4,transcripts_emo_5,4,transcripts_toxic_5,2,mb_cluster_3,titles_emotion_ANGER,titles_toxicity_IDENTITY-ATTACK,transcripts_emotion_ANGER,transcripts_toxicity_TOXICITY,3,topic_3,0,0.366898626
EoiyJXsNerI,CE2019_Influential,5,titles_emo_6,3,titles_toxic_4,2,transcripts_emo_3,5,transcripts_toxic_6,2,mb_cluster_3,titles_emotion_DISGUST,titles_toxicity_IDENTITY-ATTACK,transcripts_emotion_JOY,transcripts_toxicity_TOXICITY,3,topic_3,0,0.450333923
NgjhQxKb19M,CE2019_Influential,1,titles_emo_2,4,titles_toxic_5,3,transcripts_emo_4,2,transcripts_toxic_3,3,mb_cluster_4,titles_emotion_ANGER,titles_toxicity_INSULT,transcripts_emotion_DISGUST,transcripts_toxicity_IDENTITY-ATTACK,3,topic_3,2,0.402908713
XSe3vQCRXvI,CE2019_Influential,3,titles_emo_4,4,titles_toxic_5,2,transcripts_emo_3,3,transcripts_toxic_4,1,mb_cluster_2,titles_emotion_ANGER,titles_toxicity_INSULT,transcripts_emotion_JOY,transcripts_toxicity_TOXICITY,3,topic_3,0,0.928579509
VZBntuxFQwo,CE2019_Influential,3,titles_emo_4,0,titles_toxic_1,6,transcripts_emo_7,2,transcripts_toxic_3,3,mb_cluster_4,titles_emotion_ANGER,titles_toxicity_TOXICITY,transcripts_emotion_SURPRISE,transcripts_toxicity_IDENTITY-ATTACK,3,topic_3,0,0.861602783
pR8ff8UQAvI,CE2019_Influential,2,titles_emo_3,0,titles_toxic_1,1,transcripts_emo_2,3,transcripts_toxic_4,1,mb_cluster_2,titles_emotion_JOY,titles_toxicity_TOXICITY,transcripts_emotion_SADNESS,transcripts_toxicity_TOXICITY,3,topic_3,3,0.799662828
